code_muni;situacao;name_muni
3106655;Em ambos os recortes;Berizal
3107307;Em ambos os recortes;Bocaiúva
3108255;Em ambos os recortes;Bonito de Minas
3108503;Em ambos os recortes;Botumirim
3108602;Em ambos os recortes;Brasília de Minas
3109402;Em ambos os recortes;Buritizeiro
3111150;Em ambos os recortes;Campo Azul
3112703;Em ambos os recortes;Capitão Enéas
3115474;Em ambos os recortes;Catuti
3116159;Em ambos os recortes;Chapada Gaúcha
3116506;Em ambos os recortes;Claro dos Poções
3118809;Em ambos os recortes;Coração de Jesus
3120300;Em ambos os recortes;Cristália
3120870;Em ambos os recortes;Curral de Dentro
3117836;Em ambos os recortes;Cônego Marinho
3123809;Em ambos os recortes;Engenheiro Navarro
3124302;Em ambos os recortes;Espinosa
3126604;Em ambos os recortes;Francisco Dumont
3126703;Em ambos os recortes;Francisco Sá
3127073;Em ambos os recortes;Fruta de Leite
3127339;Em ambos os recortes;Gameleiras
3127354;Em ambos os recortes;Glaucilândia
3127800;Em ambos os recortes;Grão Mogol
3128253;Em ambos os recortes;Guaraciama
3129608;Em ambos os recortes;Ibiaí
3129657;Em ambos os recortes;Ibiracatu
3130051;Em ambos os recortes;Icaraí de Minas
3130655;Em ambos os recortes;Indaiabira
3132008;Em ambos os recortes;Itacambira
3132107;Em ambos os recortes;Itacarambi
3135100;Em ambos os recortes;Janaúba
3135209;Em ambos os recortes;Januária
3135357;Em ambos os recortes;Japonvar
3135050;Em ambos os recortes;Jaíba
3135605;Em ambos os recortes;Jequitaí
3136579;Em ambos os recortes;Josenópolis
3136801;Em ambos os recortes;Juramento
3136959;Em ambos os recortes;Juvenília
3137304;Em ambos os recortes;Lagoa dos Patos
3138104;Em ambos os recortes;Lassance
3138658;Em ambos os recortes;Lontra
3138682;Em ambos os recortes;Luislândia
3139250;Em ambos os recortes;Mamonas
3139300;Em ambos os recortes;Manga
3140852;Em ambos os recortes;Matias Cardoso
3141009;Em ambos os recortes;Mato Verde
3142007;Em ambos os recortes;Mirabela
3142254;Em ambos os recortes;Miravânia
3142700;Em ambos os recortes;Montalvânia
3142908;Em ambos os recortes;Monte Azul
3143302;Em ambos os recortes;Montes Claros
3143450;Em ambos os recortes;Montezuma
3144656;Em ambos os recortes;Ninheira
3145059;Em ambos os recortes;Nova Porteirinha
3145372;Em ambos os recortes;Novorizonte
3145455;Em ambos os recortes;Olhos-D'água
3146255;Em ambos os recortes;Padre Carvalho
3146552;Em ambos os recortes;Pai Pedro
3147956;Em ambos os recortes;Patis
3149150;Em ambos os recortes;Pedras de Maria da Cruz
3150570;Em ambos os recortes;Pintópolis
3151206;Em ambos os recortes;Pirapora
3152131;Em ambos os recortes;Ponto Chique
3152204;Em ambos os recortes;Porteirinha
3154507;Em ambos os recortes;Riacho dos Machados
3155603;Em ambos os recortes;Rio Pardo de Minas
3156502;Em ambos os recortes;Rubelita
3157005;Em ambos os recortes;Salinas
3157377;Em ambos os recortes;Santa Cruz de Salinas
3157609;Em ambos os recortes;Santa Fé de Minas
3160454;Em ambos os recortes;Santo Antônio do Retiro
3166956;Em ambos os recortes;Serranópolis de Minas
3161106;Em ambos os recortes;São Francisco
3162252;Em ambos os recortes;São João da Lagoa
3162401;Em ambos os recortes;São João da Ponte
3162450;Em ambos os recortes;São João das Missões
3162658;Em ambos os recortes;São João do Pacuí
3162708;Em ambos os recortes;São João do Paraíso
3164209;Em ambos os recortes;São Romão
3168002;Em ambos os recortes;Taiobeiras
3170008;Em ambos os recortes;Ubaí
3170651;Em ambos os recortes;Vargem Grande do Rio Pardo
3170909;Em ambos os recortes;Varzelândia
3171030;Em ambos os recortes;Verdelândia
3170800;Em ambos os recortes;Várzea da Palma
3122355;Só na Mesorregião Norte de Minas (1989);Divisa Alegre
3154457;Só na Mesorregião Norte de Minas (1989);Riachinho
3170529;Só na Mesorregião Norte de Minas (1989);Urucuia
3101003;Só na Mesorregião Norte de Minas (1989);Águas Vermelhas
3136405;Só na Reg. Interm. Montes Claros (2017);Joaquim Felício
