regiao;ano;casos;pop;examinados;positivos;n_mun_com_pce;incidencia;positividade;cob_exame
Norte de Minas;2018;173;1673263,00000000;0;0;0;10,33907998921867;;0
Norte de Minas;2019;209;1681525,00000000;0;0;0;12,42919373782727;;0
Norte de Minas;2020;35;1689513,00000000;0;0;0;2,07160288201393;;0
Norte de Minas;2021;82;1697197,00000000;0;0;0;4,83149569554978;;0
Norte de Minas;2022;135;1607627,00000000;0;0;0;8,39747030872211;;0
Norte de Minas;2023;202;1632483,97811381;0;0;0;12,37378147094546;;0
Norte de Minas;2024;170;1657804,00000000;0;0;0;10,25452948599473;;0
Norte de Minas;2025;447;1660895,00000000;0;0;0;26,91320041303031;;0
Bahia;2018;322;14812617,00000000;0;0;0;2,17382249200124;;0
Bahia;2019;260;14873064,00000000;0;0;0;1,74812668055486;;0
Bahia;2020;191;14930634,00000000;0;0;0;1,27924909283825;;0
Bahia;2021;234;14985284,00000000;0;0;0;1,56153196696172;;0
Bahia;2022;282;14141626,00000000;0;0;0;1,99411298248165;;0
Bahia;2023;521;14491372,32720456;0;0;0;3,59524266050310;;0
Bahia;2024;191;14850513,00000000;0;0;0;1,28615085552937;;0
Bahia;2025;257;14870907,00000000;0;0;0;1,72820662519105;;0
Total;2018;495;16485880,00000000;0;0;;3,00256947157204;;0
Total;2019;469;16554589,00000000;0;0;;2,83305130680079;;0
Total;2020;226;16620147,00000000;0;0;;1,35979543381897;;0
Total;2021;316;16682481,00000000;0;0;;1,89420266685753;;0
Total;2022;417;15749253,00000000;0;0;;2,64774462636418;;0
Total;2023;723;16123856,30531837;0;0;;4,48403896877648;;0
Total;2024;361;16508317,00000000;0;0;;2,18677651998081;;0
Total;2025;704;16531802,00000000;0;0;;4,25845893871703;;0
