code_muni;RR_anual;li;ls;p;motivo;p_aj;classe_tendencia
2900108;;;;;casos insuficientes;;Não estimável
2900207;;;;;casos insuficientes;;Não estimável
2900306;;;;;casos insuficientes;;Não estimável
2900355;9,66669011868554e-01;7,43580836296499e-01;1,25668781777792e+00;8,00093680962906e-01;;8,97301324444380e-01;Estável
2900405;;;;;casos insuficientes;;Não estimável
2900504;;;;;casos insuficientes;;Não estimável
2900603;;;;;casos insuficientes;;Não estimável
2900702;;;;;casos insuficientes;;Não estimável
2900801;1,03436760370593e+00;8,34842750918839e-01;1,28157828335788e+00;7,57292150713036e-01;;8,74067409897366e-01;Estável
2900900;2,90860427727498e-01;1,63867427683674e-01;5,16269704197299e-01;2,46185466550499e-05;;2,46185466550499e-04;Decrescente
2901007;;;;;casos insuficientes;;Não estimável
2901106;;;;;casos insuficientes;;Não estimável
2901155;;;;;casos insuficientes;;Não estimável
2901205;9,62315375470006e-01;7,00548850614856e-01;1,32189337125199e+00;8,12544690747619e-01;;9,01196168233620e-01;Estável
2901304;;;;;casos insuficientes;;Não estimável
2901353;;;;;casos insuficientes;;Não estimável
2901403;;;;;casos insuficientes;;Não estimável
2901502;;;;;casos insuficientes;;Não estimável
2901601;;;;;casos insuficientes;;Não estimável
2901700;;;;;casos insuficientes;;Não estimável
2901809;;;;;casos insuficientes;;Não estimável
2901908;;;;;casos insuficientes;;Não estimável
2901957;;;;;casos insuficientes;;Não estimável
2902005;1,29947296908146e+00;9,24250525702112e-01;1,82702627741607e+00;1,31849541735033e-01;;2,47217890753187e-01;Estável
2902054;;;;;casos insuficientes;;Não estimável
2902104;1,01595390761721e+00;7,05156565244897e-01;1,46373499627590e+00;9,32297564728469e-01;;9,64445756615658e-01;Estável
2902203;;;;;casos insuficientes;;Não estimável
2902252;5,67902199134282e-01;4,27927878038617e-01;7,53661830259280e-01;8,90424996039594e-05;;7,12339996831675e-04;Decrescente
2902302;;;;;casos insuficientes;;Não estimável
2902401;;;;;casos insuficientes;;Não estimável
2902500;;;;;casos insuficientes;;Não estimável
2902609;;;;;casos insuficientes;;Não estimável
2902658;;;;;casos insuficientes;;Não estimável
2902708;;;;;casos insuficientes;;Não estimável
2902807;1,97317754634771e+00;1,01346057708585e+00;3,84171788961553e+00;4,55762802770656e-02;;1,11615380270365e-01;Estável
2902906;;;;;casos insuficientes;;Não estimável
2903003;;;;;casos insuficientes;;Não estimável
2903102;;;;;casos insuficientes;;Não estimável
2903201;9,93939663231277e-01;7,77634863085207e-01;1,27041121873680e+00;9,61280944818393e-01;;9,84564355405271e-01;Estável
2903235;2,89313444821633e-01;1,74300244059652e-01;4,80218887851434e-01;1,60988971918221e-06;;2,75981094716950e-05;Decrescente
2903276;6,31613646756671e-01;4,09074268458749e-01;9,75216065953777e-01;3,81536473197985e-02;;1,04055401781269e-01;Estável
2903300;;;;;casos insuficientes;;Não estimável
2903409;;;;;casos insuficientes;;Não estimável
2903508;;;;;casos insuficientes;;Não estimável
2903607;1,37517853775364e+00;1,03462603148175e+00;1,82782566178995e+00;2,82041417965628e-02;;8,25487076972569e-02;Estável
2903706;;;;;casos insuficientes;;Não estimável
2903805;;;;;casos insuficientes;;Não estimável
