code_muni;name_muni;uf;regiao;casos_sinan;pessoa_ano;inc_sinan_bruta;inc_sinan_ebg;inc_sinan_ebl;examinados;positivos;posit_bruta;posit_ebl;rme_sinan;rme_pce
3170008;Ubaí;MG;Norte de Minas;276;97770,7361902721;282,2930569560968479;277,47685861072488933;281,10935877600303456;0;0;;;99,8457270688823257;
2902005;Aracatu;BA;Bahia;248;109343,9175775272;226,8073117319603966;223,34957297768636408;225,79239858952385589;0;0;;;80,2206798445565994;
3142007;Mirabela;MG;Norte de Minas;116;110006,7094412737;105,4481136552182221;103,87328162902844042;102,77206718584713485;0;0;;;37,2965020446281699;
3117836;Cônego Marinho;MG;Norte de Minas;62;60070,9287660293;103,2113224709480050;100,42575949018525705;99,46386647013524396;0;0;;;36,5053595188328615;
2932101;Ubaíra;BA;Bahia;132;155368,0991951663;84,9595255935954299;84,06308829207685562;84,16836709464698174;0;0;;;30,0497847725639673;
3135209;Januária;MG;Norte de Minas;393;536651,4063532156;73,2318960404127921;73,00768455738267448;72,95640352549773411;0;0;;;25,9017773360433345;
3108255;Bonito de Minas;MG;Norte de Minas;58;86755,5049171206;66,8545472191172934;65,61374310712952251;66,25727552091669281;0;0;;;23,6461390405072223;
3138682;Luislândia;MG;Norte de Minas;31;51963,2176545403;59,6575835740059404;57,84240116969493073;59,40423274561897671;0;0;;;21,1006068351359382;
2925758;Presidente Tancredo Neves;BA;Bahia;130;226510,1583232541;57,3925694822375903;56,98265981982918760;56,95333620859997126;0;0;;;20,2994819996461047;
2918456;Jucuruçu;BA;Bahia;42;75569,4345688482;55,5780260096236631;54,40778939494504129;53,77260703938537034;0;0;;;19,6576865043023759;
2924702;Piripá;BA;Bahia;41;79140,3559096668;51,8066914518284634;50,76810717282690177;49,81450584564483819;0;0;;;18,3237832018147593;
2903235;Barro Alto;BA;Bahia;49;114924,0834427279;42,6368421066581789;42,05167567061764800;40,53508911102230883;0;0;;;15,0804505996847862;
2918209;Jiquiriçá;BA;Bahia;36;113789,7760345890;31,6372887394180005;31,20964755786975076;31,50982284696877755;0;0;;;11,1899602871445349;
3142254;Miravânia;MG;Norte de Minas;11;35577,9788643763;30,9180013905009190;29,62655635606920868;29,77771433592141292;0;0;;;10,9355517335000734;
2912806;Ibirapuã;BA;Bahia;22;71175,6853184759;30,9094319240635258;30,24889736330055356;28,85090625206251858;0;0;;;10,9325207535097757;
2910404;Encruzilhada;BA;Bahia;43;144370,8148283052;29,7844131801419145;29,46803879511456259;28,78149488557613367;0;0;;;10,5346069129634099;
2925006;Planalto;BA;Bahia;57;200442,3990338817;28,4370972781886451;28,21990115827145473;27,73788170625252647;0;0;;;10,0580676127321862;
2909000;Cordeiros;BA;Bahia;18;65218,7309856044;27,5994330585382244;26,96489721141920981;26,49605679162034022;0;0;;;9,7617897164479999;
3147956;Patis;MG;Norte de Minas;11;43321,9825772883;25,3912663862405701;24,53228138623027021;24,14159115326896554;0;0;;;8,9807715459617086;
3149150;Pedras de Maria da Cruz;MG;Norte de Minas;15;90263,5891521568;16,6179964046350896;16,36093525367394008;17,21847283928046934;0;0;;;5,8777072002408932;
2908101;Cocos;BA;Bahia;20;153479,1541495877;13,0310856290666646;12,91836015750014788;13,89551188953686633;0;0;;;4,6090337224743587;
3170909;Varzelândia;MG;Norte de Minas;21;153540,0810468157;13,6772104435694022;13,55739400561611596;13,55149727927106085;0;0;;;4,8375650316638215;
2931806;Tremedal;BA;Bahia;17;131312,3174842106;12,9462340819962556;12,81581826451682637;12,87095036418801719;0;0;;;4,5790221291977939;
2905404;Cairu;BA;Bahia;18;146126,8743373126;12,3180626983436490;12,20800007912696294;12,16099531758522545;0;0;;;4,3568408640935132;
3116159;Chapada Gaúcha;MG;Norte de Minas;12;105896,4431559464;11,3318253591656717;11,19632875302927388;12,12997777387670517;0;0;;;4,0080133539361533;
3135357;Japonvar;MG;Norte de Minas;8;65608,1976678150;12,1935981849483195;11,95506915701187012;12,08814753175819590;0;0;;;4,3128183508647719;
2907301;Castro Alves;BA;Bahia;26;205901,6299346935;12,6273891120951784;12,54646021311769211;11,88275609794525067;0;0;;;4,4662481623659414;
2906204;Canarana;BA;Bahia;23;203785,3841963973;11,2863835111127724;11,21580922662513125;11,18810977122650918;0;0;;;3,9919407859207765;
2906899;Caraíbas;BA;Bahia;8;76075,7325937466;10,5158369525285309;10,34638231005259712;10,72038626465784006;0;0;;;3,7194020908077974;
2930808;Souto Soares;BA;Bahia;14;137865,2325599307;10,1548445101371918;10,06483862039312349;10,03737911191349852;0;0;;;3,5917207611088502;
2902252;Arataca;BA;Bahia;10;85376,1044445618;11,7128792242956035;11,53795530143081116;10,02966320235388054;0;0;;;4,1427903145406892;
3118809;Coração de Jesus;MG;Norte de Minas;20;209852,0932803715;9,5305220392913270;9,47620058758057304;9,53772164449892479;0;0;;;3,3709008383689820;
2921203;Miguel Calmon;BA;Bahia;21;204074,8472801192;10,2903421366645826;10,22816541647377520;9,23951062013662572;0;0;;;3,6396456345811701;
2921450;Mirante;BA;Bahia;7;75785,6370904142;9,2365786826451330;9,09478998700661201;9,17174114397188056;0;0;;;3,2669344550725929;
2918902;Lajedão;BA;Bahia;3;31596,8652594949;9,4946127578225425;9,15145534063598021;8,98673801633322533;0;0;;;3,3581998943378664;
2928059;Santa Luzia;BA;Bahia;11;106904,4540750607;10,2895619225337267;10,17177428778040671;8,94938789439197713;0;0;;;3,6393696765111949;
2929305;São Gonçalo dos Campos;BA;Bahia;30;315232,3694476138;9,5167891712927286;9,48060310817301577;8,47832765886140294;0;0;;;3,3660435875217738;
2922052;Mulungu do Morro;BA;Bahia;8;96956,4110201353;8,2511304985686955;8,15688687566896142;8,43021854303532514;0;0;;;2,9183860653645031;
2905206;Caetité;BA;Bahia;36;418691,6258691369;8,5982135241586821;8,57467872730376257;8,26581598544604645;0;0;;;3,0411476997347355;
2910107;Dom Basílio;BA;Bahia;8;97491,6333553357;8,2058323618825284;8,11288003413149106;8,06163335735086584;0;0;;;2,9023643273838928;
3162252;São João da Lagoa;MG;Norte de Minas;5;39311,5808252448;12,7188983374312379;12,30552615967101815;8,04246755874350150;0;0;;;4,4986145451445649;
3143302;Montes Claros;MG;Norte de Minas;269;3355433,6803059899;8,0168474668070111;8,01419717341149074;8,01811144391709973;0;0;;;2,8355212584918861;
2916203;Itapé;BA;Bahia;8;76741,3035772453;10,4246339677400250;10,25860992573089625;7,82664877105013534;0;0;;;3,6871440238710789;
3136801;Juramento;MG;Norte de Minas;2;32523,4271719235;6,1494134348994418;5,98305589543130356;7,09069153671056718;0;0;;;2,1750186209864100;
3156502;Rubelita;MG;Norte de Minas;6;45936,2455946385;13,0615811595632376;12,69334840641282902;7,01892128065109500;0;0;;;4,6198198482388859;
