cluster;idx;code_muni;name_muni;uf;desfecho
1;490;3161106;São Francisco;MG;Incidência SINAN
1;444;3130051;Icaraí de Minas;MG;Incidência SINAN
1;479;3150570;Pintópolis;MG;Incidência SINAN
1;460;3138682;Luislândia;MG;Incidência SINAN
1;499;3170008;Ubaí;MG;Incidência SINAN
1;451;3135357;Japonvar;MG;Incidência SINAN
1;450;3135209;Januária;MG;Incidência SINAN
1;422;3108602;Brasília de Minas;MG;Incidência SINAN
1;459;3138658;Lontra;MG;Incidência SINAN
1;427;3116159;Chapada Gaúcha;MG;Incidência SINAN
1;424;3111150;Campo Azul;MG;Incidência SINAN
1;478;3149150;Pedras de Maria da Cruz;MG;Incidência SINAN
1;496;3164209;São Romão;MG;Incidência SINAN
1;481;3152131;Ponto Chique;MG;Incidência SINAN
1;494;3162658;São João do Pacuí;MG;Incidência SINAN
1;443;3129657;Ibiracatu;MG;Incidência SINAN
1;477;3147956;Patis;MG;Incidência SINAN
1;465;3142007;Mirabela;MG;Incidência SINAN
1;429;3117836;Cônego Marinho;MG;Incidência SINAN
1;420;3108255;Bonito de Minas;MG;Incidência SINAN
1;502;3170909;Varzelândia;MG;Incidência SINAN
2;24;2902005;Aracatu;BA;Incidência SINAN
3;215;2918209;Jiquiriçá;BA;Incidência SINAN
3;271;2922409;Mutuípe;BA;Incidência SINAN
3;396;2932101;Ubaíra;BA;Incidência SINAN
3;316;2925758;Presidente Tancredo Neves;BA;Incidência SINAN
4;469;3143302;Montes Claros;MG;Incidência SINAN
4;436;3126703;Francisco Sá;MG;Incidência SINAN
4;430;3118809;Coração de Jesus;MG;Incidência SINAN
5;304;2924702;Piripá;BA;Incidência SINAN
5;109;2909000;Cordeiros;BA;Incidência SINAN
5;393;2931806;Tremedal;BA;Incidência SINAN
6;40;2903235;Barro Alto;BA;Incidência SINAN
6;381;2930808;Souto Soares;BA;Incidência SINAN
6;76;2906204;Canarana;BA;Incidência SINAN
7;219;2918456;Jucuruçu;BA;Incidência SINAN
8;307;2925006;Planalto;BA;Incidência SINAN
9;124;2910404;Encruzilhada;BA;Incidência SINAN
10;155;2912806;Ibirapuã;BA;Incidência SINAN
11;91;2907301;Castro Alves;BA;Incidência SINAN
12;466;3142254;Miravânia;MG;Incidência SINAN
13;66;2905206;Caetité;BA;Incidência SINAN
14;359;2929305;São Gonçalo dos Campos;BA;Incidência SINAN
15;100;2908101;Cocos;BA;Incidência SINAN
16;74;2906006;Campo Formoso;BA;Incidência SINAN
17;68;2905404;Cairu;BA;Incidência SINAN
18;256;2921203;Miguel Calmon;BA;Incidência SINAN
19;4;2900355;Adustina;BA;Incidência SINAN
19;292;2923803;Paripiranga;BA;Incidência SINAN
19;129;2910750;Fátima;BA;Incidência SINAN
19;379;2930766;Sítio do Quinto;BA;Incidência SINAN
19;111;2909208;Coronel João Sá;BA;Incidência SINAN
