desfecho;modelo;termo;rotulo;incremento;RR_IC;p_fmt;RR;RR_li;RR_ls;p_valor
Incidência SINAN;Poisson robusto (HC0);idhm;IDHM (geral);por 1 DP de aumento;1.17 (0.84–1.63);0,363;1,166965163968259;0,8369771270218945;1,627054850066222;0,36253855643289895072101
Incidência SINAN;Poisson robusto (HC0);pct_agua_superficial;% domicílios abastecidos por rio/córrego/açude;por duplicação aproximada do percentual;1.26 (0.84–1.90);0,271;1,258819110724905;0,8358900950650122;1,895734335030007;0,27052688343754333066826
Incidência SINAN;Poisson robusto (HC0);pct_esgoto_em_corpo_dagua;% domicílios com esgoto lançado em rio/lago/córrego;por duplicação aproximada do percentual;1.54 (1.06–2.24);0,024;1,539641420895164;1,0576006328202334;2,241390210418876;0,02430708620481679405056
Incidência SINAN;Poisson robusto (HC0);pct_agua_rede;% domicílios com água de rede geral;por 10 p.p. de aumento;0.83 (0.68–1.01);0,056;0,827810351760614;0,6817047279091569;1,005229904424765;0,05647976887986679017661
Incidência SINAN;Poisson robusto (HC0);pct_esgoto_adeq;% domicílios com esgotamento adequado;por 10 p.p. de aumento;0.83 (0.72–0.95);0,006;0,825964663945152;0,7199079692646669;0,947645609178160;0,00639359651038803964568
Incidência SINAN;Poisson robusto (HC0);dens_demografica;Densidade demográfica (hab/km²);por aumento de 1 unidade em log;1.00 (0.76–1.30);0,977;0,996044641155315;0,7645981076050160;1,297550853587428;0,97656624335770214617725
Incidência SINAN;Poisson robusto (HC0);regiaoNorte de Minas;regiaoNorte de Minas;por 1 unidade;5.31 (2.15–13.13);<0,001;5,312360278523673;2,1487423999790156;13,133808747438374;0,00029896604483735210326
Incidência SINAN;Binomial negativo;idhm;IDHM (geral);por 1 DP de aumento;1.09 (0.89–1.34);0,377;1,090706955702148;0,8855593745539785;1,344100524683813;0,37686654861984081321680
Incidência SINAN;Binomial negativo;pct_agua_superficial;% domicílios abastecidos por rio/córrego/açude;por duplicação aproximada do percentual;1.28 (1.02–1.61);0,024;1,279054132730390;1,0201658936627920;1,608423977630012;0,02399049298557080073246
Incidência SINAN;Binomial negativo;pct_esgoto_em_corpo_dagua;% domicílios com esgoto lançado em rio/lago/córrego;por duplicação aproximada do percentual;1.40 (1.07–1.84);0,007;1,397392487704451;1,0696040752673490;1,840290512497757;0,00732386653255040747518
Incidência SINAN;Binomial negativo;pct_agua_rede;% domicílios com água de rede geral;por 10 p.p. de aumento;0.81 (0.71–0.92);<0,001;0,809544164457122;0,7102609096490962;0,921627964405899;0,00057172810382811599817
Incidência SINAN;Binomial negativo;pct_esgoto_adeq;% domicílios com esgotamento adequado;por 10 p.p. de aumento;0.85 (0.79–0.92);<0,001;0,851408892381147;0,7870950064443397;0,920745074422516;0,00002492979277748360510
Incidência SINAN;Binomial negativo;dens_demografica;Densidade demográfica (hab/km²);por aumento de 1 unidade em log;1.16 (0.93–1.45);0,150;1,159088541304215;0,9267118319701521;1,450977689394787;0,14983594773353134388394
Incidência SINAN;Binomial negativo;regiaoNorte de Minas;regiaoNorte de Minas;por 1 unidade;3.92 (2.50–6.23);<0,001;3,923542300802806;2,5036989071603535;6,232887221680863;0,00000000235482345409295
