cenario;rotulo;RR_IC;p_fmt;RR;RR_li;RR_ls;p_valor
Variância HC3;IDHM (geral);1.17 (0.81–1.69);0,410;1,166965163968259;0,808090077658356;1,685217689916012;0,410216583485539688
Variância HC3;% domicílios abastecidos por rio/córrego/açude;1.26 (0.80–1.97);0,316;1,258819110724905;0,802727978321654;1,974050483252596;0,316000620554221845
Variância HC3;% domicílios com esgoto lançado em rio/lago/córrego;1.54 (1.03–2.30);0,036;1,539641420895164;1,028554957791812;2,304685507544739;0,036014884672519731
Variância HC3;% domicílios com água de rede geral;0.83 (0.67–1.02);0,079;0,827810351760614;0,670588949931072;1,021892738543438;0,078672258182253388
Variância HC3;% domicílios com esgotamento adequado;0.83 (0.71–0.97);0,018;0,825964663945152;0,705251738631743;0,967339162338822;0,017697471178863479
Variância HC3;Densidade demográfica (hab/km²);1.00 (0.71–1.40);0,982;0,996044641155315;0,710533079558236;1,396282531688810;0,981652936890244687
Variância HC3;regiaoNorte de Minas;5.31 (2.08–13.54);<0,001;5,312360278523673;2,084233262664415;13,540313473722756;0,000468087207460423
Excluindo grandes polos assistenciais;IDHM (geral);1.07 (0.76–1.50);0,703;1,067665491095475;0,762465294937246;1,495031457097283;0,703081371102206587
Excluindo grandes polos assistenciais;% domicílios abastecidos por rio/córrego/açude;1.38 (0.93–2.04);0,111;1,376758922504876;0,929494473067812;2,039243035454287;0,110670565404908744
Excluindo grandes polos assistenciais;% domicílios com esgoto lançado em rio/lago/córrego;1.58 (1.10–2.26);0,012;1,580499585433001;1,104774351904680;2,261076151204326;0,012233963020380158
Excluindo grandes polos assistenciais;% domicílios com água de rede geral;0.86 (0.72–1.03);0,110;0,862712665658589;0,719839460265965;1,033943239528373;0,109906021580429503
Excluindo grandes polos assistenciais;% domicílios com esgotamento adequado;0.79 (0.70–0.89);<0,001;0,785764648183980;0,695556133760891;0,887672543403873;0,000106609901247527
Excluindo grandes polos assistenciais;Densidade demográfica (hab/km²);1.11 (0.85–1.43);0,450;1,105593810475092;0,852254444615219;1,434240304035848;0,449660322360381559
Excluindo grandes polos assistenciais;regiaoNorte de Minas;5.00 (1.90–13.15);0,001;5,002045491460237;1,903012737795324;13,147814831562487;0,001094969637006326
Ajustado por cobertura de exame;IDHM (geral);1.17 (0.84–1.63);0,363;1,166965163968259;0,836977127021895;1,627054850066222;0,362538556432898951
Ajustado por cobertura de exame;% domicílios abastecidos por rio/córrego/açude;1.26 (0.84–1.90);0,271;1,258819110724905;0,835890095065012;1,895734335030007;0,270526883437543331
Ajustado por cobertura de exame;% domicílios com esgoto lançado em rio/lago/córrego;1.54 (1.06–2.24);0,024;1,539641420895164;1,057600632820233;2,241390210418876;0,024307086204816794
Ajustado por cobertura de exame;% domicílios com água de rede geral;0.83 (0.68–1.01);0,056;0,827810351760614;0,681704727909157;1,005229904424765;0,056479768879866790
Ajustado por cobertura de exame;% domicílios com esgotamento adequado;0.83 (0.72–0.95);0,006;0,825964663945152;0,719907969264667;0,947645609178160;0,006393596510388040
Ajustado por cobertura de exame;Densidade demográfica (hab/km²);1.00 (0.76–1.30);0,977;0,996044641155315;0,764598107605016;1,297550853587428;0,976566243357702146
Ajustado por cobertura de exame;regiaoNorte de Minas;5.31 (2.15–13.13);<0,001;5,312360278523673;2,148742399979016;13,133808747438374;0,000298966044837352
Apenas municípios com >=1 caso (n=349);IDHM (geral);1.14 (0.84–1.55);0,406;1,138843560074042;0,838217098702820;1,547289665564244;0,405739539110030856
Apenas municípios com >=1 caso (n=349);% domicílios abastecidos por rio/córrego/açude;1.22 (0.82–1.82);0,317;1,224444585564238;0,823744383837568;1,820060412591796;0,316718072045992671
Apenas municípios com >=1 caso (n=349);% domicílios com esgoto lançado em rio/lago/córrego;1.61 (1.08–2.39);0,020;1,605385957471417;1,078686033397835;2,389262484773349;0,019631246216793321
Apenas municípios com >=1 caso (n=349);% domicílios com água de rede geral;0.82 (0.66–1.01);0,059;0,818071277949525;0,664111629480549;1,007723078617719;0,059073851093398029
Apenas municípios com >=1 caso (n=349);% domicílios com esgotamento adequado;0.83 (0.72–0.95);0,006;0,828726526891012;0,724983251252138;0,947315203746666;0,005902768995604725
Apenas municípios com >=1 caso (n=349);Densidade demográfica (hab/km²);0.92 (0.73–1.17);0,507;0,924830547136985;0,734141069462973;1,165050664640460;0,507141927934453340
Apenas municípios com >=1 caso (n=349);regiaoNorte de Minas;5.11 (2.11–12.33);<0,001;5,105908402420010;2,114223397290370;12,330911032067595;0,000289824511727016
