RR_verdadeiro;incidencia_base_100mil;poder;largura_IC95;cenario
1,10;5;0,328;0,366;Superdispersão forte (theta=1)
1,15;5;0,462;0,389;Superdispersão forte (theta=1)
1,20;5;0,588;0,400;Superdispersão forte (theta=1)
1,30;5;0,807;0,430;Superdispersão forte (theta=1)
1,50;5;0,925;0,501;Superdispersão forte (theta=1)
1,10;15;0,278;0,358;Superdispersão forte (theta=1)
1,15;15;0,470;0,382;Superdispersão forte (theta=1)
1,20;15;0,565;0,395;Superdispersão forte (theta=1)
1,30;15;0,745;0,418;Superdispersão forte (theta=1)
1,50;15;0,932;0,508;Superdispersão forte (theta=1)
1,10;40;0,325;0,365;Superdispersão forte (theta=1)
1,15;40;0,388;0,391;Superdispersão forte (theta=1)
1,20;40;0,605;0,390;Superdispersão forte (theta=1)
1,30;40;0,805;0,426;Superdispersão forte (theta=1)
1,50;40;0,927;0,506;Superdispersão forte (theta=1)
1,10;15;0,670;0,163;Superdispersão moderada (theta=5)
1,15;15;0,840;0,174;Superdispersão moderada (theta=5)
1,20;15;0,917;0,183;Superdispersão moderada (theta=5)
1,30;15;0,988;0,202;Superdispersão moderada (theta=5)
