RP_verdadeiro;n_municipios_PCE;rho_intraclasse;poder;largura_IC95
1,1;150;0,00;1,000;0,036
1,2;150;0,00;1,000;0,040
1,3;150;0,00;1,000;0,042
1,5;150;0,00;1,000;0,047
1,1;300;0,00;1,000;0,026
1,2;300;0,00;1,000;0,028
1,3;300;0,00;1,000;0,030
1,5;300;0,00;1,000;0,034
1,1;150;0,02;0,370;0,255
1,2;150;0,02;0,807;0,280
1,3;150;0,02;0,983;0,296
1,5;150;0,02;0,998;0,340
1,1;300;0,02;0,560;0,191
1,2;300;0,02;0,940;0,215
1,3;300;0,02;0,993;0,226
1,5;300;0,02;1,000;0,247
1,1;150;0,05;0,215;0,399
1,2;150;0,05;0,500;0,415
1,3;150;0,05;0,750;0,463
1,5;150;0,05;0,948;0,507
1,1;300;0,05;0,352;0,301
1,2;300;0,05;0,705;0,325
1,3;300;0,05;0,930;0,355
1,5;300;0,05;0,995;0,395
